Produk,URL Gambar,Penjual,Lokasi,Harga Normal,Diskon,Harga Diskon,Rate,Terjual
Samsung Galaxy A55 5G 12/256GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/15/6ecf2812-8312-4450-be67-8174b8d3ffc7.jpg,Samsung Official Store,Jakarta Utara,Rp6.899.000,,0,5.0,100+ terjual
iPhone 14 Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/25/a6326dd1-8334-4fd7-821a-5ace01e12c2e.png,igoods gadget,Jakarta Barat,"Rp14,9jt",25%,Rp11.258.000,5.0,750+ terjual
iPhone 15 Garansi Resmi Promo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/21/872fce24-2378-466e-bd22-15b6a6264726.jpg,igoods gadget,Jakarta Barat,"Rp17,9jt",27%,Rp13.063.000,5.0,500+ terjual
iPhone 15 Promax Garansi Resmi Promo,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/23/3928134d-752b-4bda-9c68-21d53c9e6a5c.png,igoods gadget,Jakarta Barat,"Rp30,9jt",31%,Rp21.304.000,5.0,500+ terjual
iBox | iPhone 11 64GB | 11 PRO | 11 PRO MAX FULLSET ORIGINAL,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/19/9ee0faca-5c5c-4dd9-be62-2a5a62e28ab5.png,Diga Corp,Jakarta Timur,Rp4.539.000,,0,5.0,30+ terjual
Apple iPhone 11 Garansi Resmi - 64GB 128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/15/604646d4-81ed-42f2-adea-aa7f87a349a0.jpg,iSmile Official Store,Jakarta Pusat,"Rp7,99jt",18%,"Rp6,54jt - Rp8,39jt",5.0,2rb+ terjual
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/154cb778-5bb4-44b1-82fb-b9639a9997dc.png,OKESHOP,Jakarta Pusat,"Rp2,19jt",22%,"Rp1,71jt - Rp1,99jt",5.0,500+ terjual
Xiaomi Poco X6 PRO 5G NFC 12/512GB 512 MD 8300 Ultra Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/24/7f62ea42-943f-43d9-a2a1-8017026f5984.jpg,Onestop Ponsel,Jakarta Pusat,"Rp6,99jt",28%,"Rp5,03jt - Rp5,85jt",5.0,250+ terjual
Xiaomi Poco C65 6/128 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/28/2dc6fcf6-eba8-4399-8b05-f4e9e289d252.jpg,Gudang-HP,Jakarta Pusat,Rp1.492.000,,0,5.0,60+ terjual
Apple iPhone 15 Pro Garansi Resmi - 128GB 256GB 512GB 1T,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/6/218deaf4-1a4c-4244-a7e2-76563a8afea3.png,iSmile Official Store,Jakarta Pusat,"Rp25,4jt",31%,"Rp17,6jt - Rp32jt",4.9,1rb+ terjual
Samsung Galaxy A05 4/64 4/128 6/128 Garansi Resmi Sein By Tam,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/19/58a4fb12-9370-49e9-b88b-4e3edb0b68de.jpg,Ini Toko Budi,Jakarta Selatan,Rp1.131.000,,0,4.9,2rb+ terjual
(RESMI) Samsung Galaxy Tab A9 A9 Plus + 2023 64GB 128GB Gray Blue SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/6912e0e2-4da4-4c21-8633-d2d2e9b4fd00.jpg,Putra Group,Jakarta Pusat,Rp2.016.000,,0,5.0,500+ terjual
Samsung Galaxy A15 4G (8/256Gb / 8/128Gb) Garansi Resmi Sein New,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/18/c6eebf1f-cafe-44b5-8f5d-239646be538b.jpg,Ini Toko Budi,Jakarta Selatan,Rp2.432.000,,0,4.9,1rb+ terjual
Samsung Galaxy S24 Plus S24+ / S24 5G 8/512GB 8/256GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/17/fac36cd7-c2da-4d6e-af4d-6c4c87cace55.jpg,Distributor Ponsel,Jakarta Pusat,Rp12.516.000,,0,5.0,250+ terjual
(RESMI) Samsung Galaxy A34 8/128GB 8/256GB 5G Silver Graphite SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/16/bfa04dc0-c91b-46b6-b91c-ee407a075278.jpg,Putra Group,Jakarta Pusat,Rp4.128.000,,0,4.9,250+ terjual
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/154cb778-5bb4-44b1-82fb-b9639a9997dc.png,OKESHOP,Jakarta Pusat,Rp1.710.000,,0,5.0,500+ terjual
(RESMI) Samsung Galaxy Tab A9 A9 Plus + 2023 64GB 128GB Gray Blue SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/6912e0e2-4da4-4c21-8633-d2d2e9b4fd00.jpg,Putra Group,Jakarta Pusat,Rp2.016.000,,0,5.0,500+ terjual
Infinix Zero 30 4G NFC 8/256 GB Garansi Resmi 1 Tahun,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/23/8a98aee2-bc68-4276-99f4-a7ccf44419e5.jpg,NEW ERA PONSEL,Jakarta Timur,Rp2.926.000,,0,4.9,1rb+ terjual
Oppo A58 NFC 6/128GB Garansi Resmi - not Oppo A57 A54 A78,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/43456552-a7b9-46d6-904b-ebe85298bf6c.jpg,Indotechstore,Jakarta Pusat,Rp2.009.000,,0,4.9,1rb+ terjual
Xiaomi Poco X6 PRO 5G NFC 12/512GB 512 MD 8300 Ultra Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/24/7f62ea42-943f-43d9-a2a1-8017026f5984.jpg,Onestop Ponsel,Jakarta Pusat,Rp5.037.000,,0,5.0,250+ terjual
Samsung Galaxy A05 4/64 4/128 6/128 Garansi Resmi Sein By Tam,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/19/58a4fb12-9370-49e9-b88b-4e3edb0b68de.jpg,Ini Toko Budi,Jakarta Selatan,Rp1.131.000,,0,4.9,2rb+ terjual
Xiaomi Poco C65 8/256 6/128 GB Garansi Resmi Black Purple Blue,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/4/c134be03-3e0e-4850-93b6-da958b358566.jpg,Digitalisme,Jakarta Pusat,Rp1.799.000,,0,5.0,100+ terjual
Xiaomi Poco M5 4/128 RAM 4GB ROM 128GB GARANSI RESMI,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/11/11/eddad72f-f87f-4e0a-9be5-a29d5ac01969.jpg,ARM PONSEL,Depok,Rp1.405.000,,0,4.9,100+ terjual
Oppo A18 4/128GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/10f69458-8a00-4d3c-9b4e-67b7a17f68ff.jpg,Indotechstore,Jakarta Pusat,Rp1.417.000,,0,4.9,1rb+ terjual
FS Xiaomi Poco C65 NFC 6/128 GB 8/256 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/4/114e7c7d-7cdf-4c8a-a745-abdca87e2182.jpg,Willsoon Store,Jakarta Barat,Rp1.699.000,,0,4.9,750+ terjual
Hp Vivo Y55 2/16gb second murah original,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/11/d34bbd7e-08a7-4ea3-bbe2-ea88d9d39a3f.jpg,Dolphin Cell 01,Jakarta Pusat,Rp335.000,,0,5.0,50+ terjual
HP VIVO Y17s ram 6/128,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/9/24/68824be5-514b-4d2f-afb8-3e373a3070a8.jpg,Universalshop1,Bekasi,Rp1.569.000,,0,5.0,100+ terjual
Handphone Vivo Y75 A ram 4gb internal 32gb Second Original Termurah,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/15/3b9d8a7d-bd6f-405d-9ba1-8ff3c788895c.jpg,Dolphin Cell 01,Jakarta Pusat,Rp500.000,,0,4.9,70+ terjual
HP VIVO Y27s ram 8/128,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/5/7b75925f-d7dd-402e-be19-64e8a6e6ad18.jpg,Universalshop1,Bekasi,Rp2.050.000,,0,5.0,50+ terjual
Hp Vivo Y17s 6/128 Gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/21/02d1e8bf-85b0-4ea5-a6c6-a8b545f08ced.png,larismanislancar,Kab. Bekasi,Rp1.555.000,,0,5.0,40+ terjual
Oppo A58 NFC 6/128GB Garansi Resmi - not Oppo A57 A54 A78,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/43456552-a7b9-46d6-904b-ebe85298bf6c.jpg,Indotechstore,Jakarta Pusat,Rp2.009.000,,0,4.9,1rb+ terjual
Oppo A18 4/128GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/10f69458-8a00-4d3c-9b4e-67b7a17f68ff.jpg,Indotechstore,Jakarta Pusat,Rp1.417.000,,0,4.9,1rb+ terjual
OPPO A18 4/128 GB Garansi Resmi 4 GB 128 GB Not A17 A17K,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/11/b622618c-9c88-4321-a748-5ba07f6f01de.jpg,Distributor Ponsel,Jakarta Pusat,Rp1.433.000,,0,4.9,500+ terjual
OPPO Reno 11F 5G 8/256 GB Garansi Resmi Reno 11 F 8 GB 256 GB Not 10,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/3/f2635f4e-b45b-4459-aa07-6004fb682178.jpg,Distributor Ponsel,Jakarta Pusat,Rp3.850.000,,0,4.8,100+ terjual
OPPO A18 4/128GB,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/19/1d57fa09-9de9-46d0-89da-1ddf2feb8336.jpg,jikalaku,Jakarta Pusat,Rp1.442.500,,0,5.0,100+ terjual
Samsung Galaxy S23fe 5G 8/128gb Grs Resmi Samsung Indonesia SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/25/587c2489-56ba-45a5-b903-532373c8e107.jpg,Multi Sellular,Jakarta Pusat,Rp7.749.000,,0,5.0,4 terjual
Offical realme Note 50 HP 4GB+4GB*|64GB 90Hz Display | Mini Capsule - Sky Blue,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/20/35a4373e-9d52-4af2-aa87-56d22df2ca32.jpg,realme Official Store,Kab. Tangerang,Rp1.999.000,38%,Rp1.235.000,5.0,80+ terjual
Samsung Galaxy A23 RAM 6 ROM 128 GB 6/128 Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/19/139ec762-b7d9-44d5-81ff-08ad38694dca.png,Sora Tech Store,Jakarta Timur,"Rp3,19jt",10%,Rp2.869.000,5.0,60+ terjual
Xiaomi Poco X5 5G 8/256 Garansi Resmi  - SalePromo8/256,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/11/13/bc9cccd4-efca-42dc-8b7c-10f243708444.jpg,Indigo Celuler,Jakarta Pusat,"Rp3,49jt",20%,Rp2.808.000,4.9,60+ terjual
Samsung Galaxy A05 4/64,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/4/b643ded9-ea21-4dc5-9111-164282388c8d.jpg,Meteor Cell - Samsung Authorized,Malang,Rp1.499.000,7%,Rp1.399.000,4.9,30+ terjual
OPPO A58 6GB/128GB (Garansi Resmi),https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/3/26/d42d6be6-360c-4017-a4e0-6ce7be5e608b.jpg,OPPO OFFICIAL STORE,Tangerang,Rp2.499.000,4%,Rp2.399.000,4.9,750+ terjual
VIVO V27E 8/256 | VIVO V27 E 12/256 | VIVO V 27 5G 8/256 GARANSI RESMI,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/1/5bb4ea9c-5fd9-4ec6-a2bb-df466bc8f25b.jpg,HERO PONSEL.,Jakarta Barat,"Rp3,39jt",24%,"Rp2,59jt - Rp3,63jt",5.0,100+ terjual
XIAOMI REDMI 4X PRIME RAM 3GB ROM 32GB,https://images.tokopedia.net/img/cache/200-square/product-1/2019/9/17/8291147/8291147_e55260e7-b569-4bed-9b0a-20b6aec6a6a7_700_700,Gunung_Agung Store,Jakarta Barat,Rp499.000,,0,4.9,100+ terjual
iPhone 15 Plus 128 GB | 256 GB | 512 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/30/7a333f7b-967e-4381-8dfe-09d35b587f6e.jpg,Gudang-HP,Jakarta Pusat,"Rp18,4jt",20%,"Rp14,8jt - Rp25,9jt",5.0,28 terjual
Realme C53 6/128GB LTE 33W NFC Garansi Resmi not C55 C35 C33 C30,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/7/a99a16b2-4cc5-4c74-b462-575b6908cad4.jpg,Onestop Ponsel,Jakarta Pusat,"Rp2,49jt",29%,"Rp1,64jt - Rp3,29jt",4.9,750+ terjual
Samsung Galaxy A05 4/64 4/128 6/128 Garansi Resmi Sein By Tam,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/19/58a4fb12-9370-49e9-b88b-4e3edb0b68de.jpg,Ini Toko Budi,Jakarta Selatan,Rp1.131.000,,0,4.9,2rb+ terjual
(RESMI) Samsung Galaxy Tab A9 A9 Plus + 2023 64GB 128GB Gray Blue SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/27/6912e0e2-4da4-4c21-8633-d2d2e9b4fd00.jpg,Putra Group,Jakarta Pusat,Rp2.016.000,,0,5.0,500+ terjual
Samsung Galaxy A15 4G (8/256Gb / 8/128Gb) Garansi Resmi Sein New,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/18/c6eebf1f-cafe-44b5-8f5d-239646be538b.jpg,Ini Toko Budi,Jakarta Selatan,Rp2.432.000,,0,4.9,1rb+ terjual
Samsung Galaxy S24 Plus S24+ / S24 5G 8/512GB 8/256GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/17/fac36cd7-c2da-4d6e-af4d-6c4c87cace55.jpg,Distributor Ponsel,Jakarta Pusat,Rp12.516.000,,0,5.0,250+ terjual
(RESMI) Samsung Galaxy A34 8/128GB 8/256GB 5G Silver Graphite SEIN,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/3/16/bfa04dc0-c91b-46b6-b91c-ee407a075278.jpg,Putra Group,Jakarta Pusat,Rp4.128.000,,0,4.9,250+ terjual
Xiaomi Redmi 12 8/256 GB 8/128 GB Garansi Resmi,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/2/21/154cb778-5bb4-44b1-82fb-b9639a9997dc.png,OKESHOP,Jakarta Pusat,Rp1.710.000,,0,5.0,500+ terjual
